id,company,code,prefecture,date,homepage_url,contact_url,description
1010001189806,ＯＰＳＷＡＴ　ＪＡＰＡＮ株式会社,301,東京都,2018-02-21,https://japanese.opswat.com/,https://japanese.opswat.com/contact,OPSWATは、脅威の侵入防止と安全なデータ転送を通じて重要インフラを守るセキュリティ企業です。20年以上の実績があり、世界80か国・1700以上の組織で導入。
1010001189822,ＫＤＤＩデジタルセキュリティ株式会社,301,東京都,2018-02-21,https://www.kddi-dsec.com/,"https://ivry.jp/telsearch/0366702110/#:~:text=03%2D6670%2D2110%E3%81%AF%E3%80%81,%E4%BC%9A%E7%A4%BE%E3%81%AE%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7%E3%81%A7%E3%81%99%E3%80%82",
1010001189847,株式会社静,301,東京都,2018-02-23,https://shizka.co.jp/,https://shizka.co.jp/inquiry/,株式会社静. 株式会社静は家具小売業を営む東京都の企業. 家具・インテリアショップ. 日本経済新聞の記者が書いた家具・インテリアショップ業界のレポートを販売しています.
1010001189855,株式会社Ｌｏｖｅａｂｌｅ,301,東京都,2018-02-23,https://www.yumeplanning.jp/expert/%E9%9D%92%E6%9C%A8%E9%A1%A7%E5%95%8F/,https://www.yumeplanning.jp/expert/%E9%9D%92%E6%9C%A8%E9%A1%A7%E5%95%8F/,私たちは、それを「愛されるマーケティング（Lovable Marketing）」と位置づけ、そのコンセプトを推進し、日本のマーケティング業界を変えていきます。 グループミッション.
1010001189896,ダックリアルティ株式会社,301,東京都,2018-02-26,https://dacjp.com/co_m_group.html,https://www.hatomarksite.com/search/zentaku/agent/00071321150,鉄道業 (1414) · 道路旅客運送業 (7580) · 道路貨物運送業 (20005) · 水運業 (2244) · 航空運輸業 (930) · 倉庫業 (6257) · 運輸に附帯するサービス業 (15098) · 郵便業（ ...
4012401038663,株式会社ＨＡＮ,301,東京都,2021-12-17,https://www.han-arc.com/,http://hans-works.com/contact,
1010001189913,株式会社ＰｅｏｐｌｅＦｏｒｅｓｔ,301,東京都,2018-02-26,https://saiyo.page/587046/policy,https://people-forest.com/contact/company/,2025/01/15 — 事業内容. ・有料職業紹介・アウトソーシング 1 on 1 ・キャリアコンサルティグ・採用アウトソーシング・食品卸業. 応募する. とりあえずキープする.
1010001189938,株式会社福３３,301,東京都,2018-02-28,https://www.facebook.com/p/%E7%A6%8F33-%E3%81%B5%E3%81%8F%E3%81%BF%E3%81%BF-100063716736602/?locale=ja_JP,https://www.facebook.com/p/%E7%A6%8F33-%E3%81%B5%E3%81%8F%E3%81%BF%E3%81%BF-100063716736602/?locale=ja_JP,東京都中央区晴海3丁目6番8－1304号. 法人基本情報（その他）. 代表者名: 資本金: 従業員数: 企業規模詳細: 設立年月日: 創業年: 全省庁統一資格: 事業概要: 企業ホームページ ...
1010001189946,ＦＧエナジー株式会社,301,東京都,2018-02-28,https://fusion-group.jp/fg/energy.php,https://fusion-group.jp/fg/energy.php,
1010001189954,株式会社日中産業研究院,301,東京都,2018-03-02,http://www.jcii.co.jp/,http://www.jcii.co.jp/company.html,株式会社日中産業研究院は中国企業の対日投資や日中提携等に関わる種々の障害を取り除く活動をすることをミッションとしております。
1010001189979,株式会社藤林企画,301,東京都,2018-02-28,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001189979,https://cnavi.g-search.or.jp/detail/1010001189979.html,空気層を取り入れた蓄熱・蓄冷する床材「エコエアーフローリング」の開発や製造および販売を手掛ける。また、住宅や施設用として、タ...... 企業情報を購入する ...
1010001189987,株式会社Ｃ．Ｃ．デザイン,301,東京都,2018-03-01,https://ccdesign.jp/,https://ccdesign.jp/about/contact/,
1010001190020,株式会社ＡＴＴＡＣＨ,301,東京都,2018-03-05,https://atouch.jp/,https://atouch.jp/contact,2024/09/03 — 資本金: 1000万円; 代表者名: 松木光平; 従業員数: 法人全体：5名／人材紹介部門：3名; 事業内容: ・人材紹介業・メディア事業; 紹介事業事業所: 東京都 ...
1010001190029,Ｓｉｎｇｕｌａｒ　Ｊａｐａｎ株式会社,301,東京都,2018-03-02,https://www.singular-perturbations.com/,https://www.singular-perturbations.com/,Singular Japan株式会社の企業概要ページです。Singular Japan株式会社の事業内容はです。本社の住所は東京都千代田区丸の内1丁目11番1号パシフィックセンチュリー ...
1010001190037,株式会社ｇｕｇｅｎｃａ,301,東京都,2018-03-05,https://gugenca.com/about,https://www.gugraph.com/docs/company,
1010001190061,株式会社講談社ＩＰ,301,東京都,2018-03-06,https://www.kodansha-ip.co.jp/,https://cstation.kodansha.co.jp/adstation/contact,メディアビジネス事業. ・コミュニケーションプランニング. ・各種データ分析、調査企画 ; ライツビジネス事業. ・プロデュース業務（テレビ・劇場アニメ、. テレビドラマ、 ...
1010001190078,ｈａｎ−ｐｒｏ株式会社,301,東京都,2018-03-13,https://www.hanakita.com/company/company/,https://www2.hp-ez.com/hp/syousingihan/page5,総合人材サービス企業の拠点責任者としてマネジメント業務をお任せします。 具体的な仕事内容◇マネジメント（拠点管理・運営全般）・クライアントへの営業活動がメイン業務 ...
1010001190086,株式会社ＰＷホールディングス,301,東京都,2018-03-05,https://onodera-user-run.co.jp/company/,https://www.mapion.co.jp/phonebook/M26030/12207/21233020517/,2025/06/29 — その他の小売業 · 機械器具卸売業 · その他の卸売業 · 機械器具小売業 · 飲食料品卸売業 · 建築材料，鉱物・金属材料等卸売業 · 飲食料品小売業 · 織物・衣服・ ...
1010001190094,オイスターワールド株式会社,301,東京都,2018-03-05,https://oysterworld.jp/,https://oysterworld.jp/company.html,
1010001190103,株式会社ＪＡＹＩＤ,301,東京都,2018-03-05,https://jayid.co.jp/ja,https://jayid.co.jp/ja,私たちは、業界を代表する大手からスタートアップ・ベンチャーキャピタルまで、国内外問わず幅広く広報・ブランディング戦略の策定・実行を支援しています。
1010001190111,株式会社Ｍｅｄｉａ−Ｌｉｎｋｓ,301,東京都,2018-03-07,https://www.media-links.co.jp/,https://mono.ipros.com/company/detail/2006743/,
1010001190136,株式会社エンターテイメント・アマテラス,301,東京都,2018-03-07,https://www.club-sasaki.com/,https://www.club-sasaki.com/recruit,株式会社エンターテイメント・アマテラス. 仕事一覧; 会社情報. 会社概要. 所在地. 東京都中央区銀座7-6-4 GINZA7 4F. 事業内容. 会員制クラブ. 会社URL. https://www.club ...
1010001190152,株式会社Ｍ＆Ａキャピタルラボ,301,東京都,2018-03-13,https://ma-capitallabo.com/,https://ma-capitallabo.com/,M&A成約まで0円。 · 業界では比較的スモールな数千万~5億円をメインにご支援。 · オーナー企業の買い手候補と多数お取引あり。 · VCのファンド満期による投資先企業のM&A及び ...
1010001190193,Ｃ−Ｕｎｉｔｅｄ株式会社,301,東京都,2018-03-08,https://c-united.co.jp/,https://c-united.co.jp/contact/,
1010001190227,株式会社Ｋｕｑｕｌｕ,301,東京都,2018-03-09,https://www.kuqulu.jp/,https://www.kuqulu.jp/contact/,
1010001190235,ＡＳアカウンツ株式会社,301,東京都,2018-03-12,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001190235,https://k-account.jp/toiawase/,2025/07/18 — 業務の概要 ... 介護領域における業界トップクラスのデジタルプラットフォームを運営し、AI×データを活用した社会課題解決に取り組んでいます。顧客との関係 ...
2012401033055,株式会社ＢＩＳ,301,東京都,2017-08-07,https://bis-inc.co.jp/,https://ins-bis.jp/contact/,
1010001190292,コスタンチノジェーピー株式会社,301,東京都,2018-03-14,https://landwatch.info/company/?number=1010001190292/,https://www.disco.co.jp/nagano/interview/004.html,ディスコで一緒に、 楽しく自分らしく 働いてみませんか？ ディスコは、半導体製造装置・ツールのメーカーです。 ディスコには「従業員満⾜がなければ、
1010001190318,マイブラン株式会社,301,東京都,2018-03-14,https://myplan045.com/,https://myplanst.com/contact/,2025/07/02 — 1． 放送番組(テレビ、ラジオ)の企画制作ならびに販売2． ビデオおよびオーディオ出版、有料有線テレビ、文字多重放送等の番組の企画制作ならびに販売と音楽 ...
1010001190326,株式会社魚山,301,東京都,2018-03-19,https://www.yamasuke.com/,https://www.rakuten.co.jp/felishshop/info.html,外食産業の厨房で多く使われる戸棚や調理台からはじまり、時代のニーズに合わせて作業台やワゴンの領域へ。 現在では、厨房をはじめ多業種の工場や研究施設などになくては ...
1010001190359,株式会社Ｎｅｔ　Ｔｉｍｅ　Ｊａｐａｎ,301,東京都,2018-03-16,https://www.nettimejapan.com/,"https://www.nettimejapan.com/privacy/#:~:text=%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B%E7%AA%93%E5%8F%A3&text=%E3%81%AE%E3%80%8C%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%E3%80%8D-,%E3%81%BE%E3%81%9F%E3%81%AF%E3%80%81%E3%83%A1%E3%83%BC%E3%83%AB%EF%BC%9Acontact%40nettimejapan.com%E3%81%AB,%E3%81%A6%E5%8F%97%E3%81%91%E4%BB%98%E3%81%91%E3%81%A6%E3%81%8A%E3%82%8A%E3%81%BE%E3%81%99%E3%80%82","資本金: 26,500,000円; 事業内容: コンテンツ流通事業、インターネット広告事業; 顧問: 野邊寛太郎法律事務所; 取引金融機関: みずほ銀行 渋谷中央支店 / 三菱東京UFJ銀行 ..."
1010001190367,株式会社ＦＡＮＥＬ,301,東京都,2018-03-15,https://fanel.co.jp/,https://fanel.co.jp/contact/,
1010001190375,横浜ＨＳ株式会社,301,東京都,2018-03-19,https://helloboss.com/corp/1010001190375,http://hs-bungu.com/shoplist/%E6%A8%AA%E6%B5%9C%E3%83%AD%E3%83%95%E3%83%88,法人基本情報（3情報） ; 法人番号: 1010001190375 ; 法人名: 横浜HS株式会社 ; 法人名ふりがな: よこはまえいちえす ; 法人名英語 ; 本店所在地: 東京都渋谷区渋谷3丁目1番9号 ...
2010501042991,株式会社ポルト,301,東京都,2018-08-27,https://www.poruto-inc.com/,https://www.poruto-inc.com/company.html,
1010001190391,ＣＡＹＥＥ株式会社,301,東京都,2018-03-19,https://cayee.com/,https://cnavi.g-search.or.jp/detail/1010001190391.html,東京都世田谷区北沢2丁目15番6号. 法人基本情報（その他）. 代表者名: 資本金: 従業員数: 企業規模詳細: 設立年月日: 創業年: 全省庁統一資格: 事業概要: 企業ホームページ ...
1010001190425,Ｒｏｔｈｅｎｂｅｒｇ株式会社,301,東京都,2018-03-20,https://rothenberg.co.jp/,https://rothenberg.co.jp/contact.php,Company Profile. 会社概要. 会社名Rothenberg株式会社 (ローゼンバーグ株式会社); 設立 ... 事業内容・採用コンサルティング・求人広告業・キャリア開発及びその ...
