id,company,code,prefecture,date,homepage_url,contact_url,description
1010001207344,ｍ．ｂｌａｎｃ‐ｊｕｅ株式会社,301,東京都,2020-02-06,https://www.sony.jp/ServiceArea/impdf/pdf/45287060M-JP.pdf?srsltid=AfmBOopvManq30nxAib7LFfRYZK2kaCZU5zWa9pSM1s-0O-mNvfIwZx6,https://www.blanc-group.co.jp/ja/enquiry,2013/03/20 — 本調査研究は、そうした背景を踏まえ、諸外国の代表的なアーティスト・イ. ン・レジデンスの事業や運営の実態、それらを支えるファンドやグラント、 ...
1010001207352,株式会社テックコンシリエ・インプリメント,301,東京都,2020-02-06,https://tech-consiglie.com/,https://tech-consiglie.com/contact/,
1010001207360,Ｈａｒｖｅｓｔ　Ｔｉｍｅ株式会社,301,東京都,2020-02-10,https://harvesttime.co.jp/,https://harvesttime.co.jp/contents/contact/,HarvestTime株式会社は「エンターテイメント」を軸としたコンサルティングを通じて、人や社会をより良い明日に繋げます。演劇・イベントプロデュース、人材育成など、 ...
1010001207369,株式会社Ｄａｚｅｄ,301,東京都,2020-02-10,https://dazed.co.jp/,https://doda.jp/DodaFront/View/Company/j_id__10199804925/,
1010001207377,株式会社ＧＡＭＥＨＵＢ・ＪＡＰＡＮ,301,東京都,2020-02-07,https://gravityga.jp/company/,https://houjin.jp/c/1010001207377,株式会社GAMEHUB・JAPANの企業概要ページです。株式会社GAMEHUB・JAPANの事業内容はです。本社の住所は東京都中央区京橋2丁目2番1号京橋エドグラン26階で、2020-02-07 ...
1010001207402,Ｓ４バングラデシュ株式会社,301,東京都,2020-02-12,https://alarmbox.jp/companyinfo/entities/1010001207402,https://www.famictech.com/ja/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,S4バングラデシュ株式会社の企業概要ページです。S4バングラデシュ株式会社の事業内容はです。本社の住所は東京都千代田区内幸町2丁目1番1号で、2020-02-12に設立され ...
1010001207476,株式会社ラボクリエーター,301,東京都,2020-02-14,https://creatorslab.kodansha.co.jp/,https://labcreate.co.jp/contact/,株式会社ラボクリエーター 法人番号:1010001207476の法人基本情報、活動情報を表示します。
1010001207484,株式会社ものづくりマーケロボ,301,東京都,2020-02-14,https://www.navitime.co.jp/poi?spot=01376-20102801002,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001207484,日本の製造業が抱える課題に対し、電子部品/半導体の部品技術でお客様を支援。近い将来EOLになる部品を早期発見しご報告する事で、お客様のEOL対策業務時間の確保と ...
1010001207492,株式会社食べもの文化社,301,東京都,2020-02-14,http://tabc.shop-pro.jp/,https://tabc.shop-pro.jp/customer/inquiries/new,"会社概要 ; 資本金, 1,000万円 ; 代表者, 代表取締役社長 所 貴佳代表取締役会長 近藤 浩史 ; 登録免許, 岐阜県屋外広告業登録 第156号 ; 加盟団体, 東京屋外広告美術協同組合 ..."
1010001207526,株式会社ｇｏｏｄ　ｄａｙ　ｍａｔｅ,301,東京都,2020-02-17,https://www.good-day-mate.com/kcf-2025?fbclid=PAZXh0bgNhZW0CMTEAAab-FQfjZ6MbsFnqjTrW_xFmqshoQUGG-x007XqFSze0AfsCawnpU-wlDXA_aem_1bygm5v2d5FRHLY62mvuzg,https://www.gdaymate.co.jp/inquiry.html,当社は、ゴルフ場に特化したITサービスの提供とコンサルティング、プロゴルファー活動の支援、ゴルファー向けのITサービスを行っています。ゴルフをより面白くするため ...
