id,company,code,prefecture,date
1010001181903,株式会社新電源,301,福島県,2017-03-06
1010001192371,テトラ・アビエーション株式会社,301,福島県,2018-06-06
1010001243835,株式会社ＭＷＧ,301,福島県,2024-04-12
1010401164953,株式会社１１１ＥＮＴＥＲＰＲＩＳＥ,301,福島県,2022-01-18
1010701033841,株式会社古賀セミコンテクノロジー,301,福島県,2017-03-07
1010901042485,Ｚｉｐ　Ｉｎｆｒａｓｔｒｕｃｔｕｒｅ株式会社,301,福島県,2018-07-27
1011001130445,トミゴールド株式会社,301,福島県,2019-10-16
1011101083089,株式会社Ｘ−ＭＡＲＫ,301,福島県,2018-02-05
1011801037435,株式会社ＬＥＡＯ　ＴＩＲＥ,301,福島県,2020-03-23
1020001130355,株式会社Ａｇｒｉ,301,福島県,2019-03-18
1020001132896,株式会社ＲＯＳＥＲＩＮ,301,福島県,2019-10-07
1020001135321,株式会社ビギニング,301,福島県,2020-03-17
1020003023788,株式会社マルシメライン,301,福島県,2023-04-21
1030001115611,株式会社メッセージラボ,301,福島県,2016-07-27
1040001100950,株式会社ドリームプロトコル,301,福島県,2017-07-06
1040001105082,日乃本ウイングル株式会社,301,福島県,2018-06-20
1040001121765,株式会社リッシンプラント,301,福島県,2022-01-17
1050001051623,株式会社３ｒｄ,301,福島県,2022-09-07
1050001054477,株式会社Ｌｉｂｅｒａｌ　Ａｃｅ,301,福島県,2024-03-22
1120001204982,ｃｏｎｆｉｄｅｎｃｅ株式会社,301,福島県,2017-04-14
1150001022721,株式会社西原商事,301,福島県,2018-12-25
1290001099795,株式会社アヴリエート,301,福島県,2022-12-06
1370001039339,株式会社双葉東洋,301,福島県,2016-03-22
1370001046351,株式会社ＮＡＴＵＲＡＬ　ＥＮＥＲＧＹ　ＷＯＲＫＳ,301,福島県,2020-11-09
1380001005728,株式会社拓新,301,福島県,2024-04-18
1380001011503,フジ企業株式会社,301,福島県,2017-01-18
1380001014547,株式会社平新,301,福島県,2018-01-26
1380001015116,南電機株式会社,301,福島県,2023-04-20
1380001016493,株式会社家具のハセガワ木工,301,福島県,2017-02-20
1380001019141,金井建設工業株式会社,301,福島県,2022-10-26
1380001026303,株式会社加藤総業,301,福島県,2016-01-04
1380001026311,株式会社会津ワークス,301,福島県,2016-01-06
1380001026336,輝総建株式会社,301,福島県,2016-01-12
1380001026344,株式会社鈴木電気工事,301,福島県,2016-01-08
