id,company,code,prefecture,date
1010001214398,Ｖｉｓｎｕ株式会社,301,岩手県,2020-12-11
1010001235849,株式会社オプトル,301,岩手県,2023-06-05
1010401125856,株式会社Ｒ−ＧＡＴＥ八幡平,301,岩手県,2016-07-20
1010401158170,株式会社ウィル,301,岩手県,2021-02-12
1010501049014,株式会社はれのこ,301,岩手県,2022-06-30
1013301039390,株式会社Ｎａｒｄ,301,岩手県,2016-09-07
1030001140840,株式会社ＳＡＴＮＡＭ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ,301,岩手県,2021-03-04
1370001039891,株式会社ダイヤテックス宮城,301,岩手県,2016-07-06
1370001042078,株式会社ＳＷＩＴＣＨ,301,岩手県,2017-09-15
1370001045270,ＧＬＯＣＡＬ　ＰＡＲＴＮＥＲＳ株式会社,301,岩手県,2020-01-16
1370001047993,株式会社Ｌｉｂｅｒａ　Ｗｏｒｋｓ,301,岩手県,2021-12-24
1370001048067,株式会社東北ラーメンストリート,301,岩手県,2022-01-14
1400001000445,株式会社カナディアンハウス,301,岩手県,2018-01-31
1400001003472,株式会社森喜青果,301,岩手県,2017-10-13
1400001006293,株式会社メガピット,301,岩手県,2016-01-08
1400001013026,株式会社福寿,301,岩手県,2016-01-08
1400001013042,株式会社Ｃｌｅａｎ　Ｅｎｅｒｇｙ,301,岩手県,2016-01-20
1400001013050,株式会社大黒建設,301,岩手県,2016-01-26
1400001013067,株式会社Ｋ．Ａｍｕｓｅ,301,岩手県,2016-02-10
1400001013075,成美工業株式会社,301,岩手県,2016-02-23
1400001013083,アドメンテナンス株式会社,301,岩手県,2016-03-02
1400001013109,株式会社陸中銀行,301,岩手県,2016-03-25
1400001013125,株式会社謙徳ＢＰ,301,岩手県,2016-04-08
1400001013133,浜谷鉄工株式会社,301,岩手県,2016-04-12
1400001013141,株式会社シカモトウェルディング,301,岩手県,2016-04-13
1400001013158,株式会社Ｕ−ＴＥＣ釜石,301,岩手県,2016-04-27
1400001013182,株式会社菅原自工,301,岩手県,2016-05-12
1400001013190,株式会社大櫻建業,301,岩手県,2016-05-16
1400001013199,株式会社ｈａｌ,301,岩手県,2016-05-24
1400001013208,ＦＫエナジー株式会社,301,岩手県,2016-05-30
1400001013216,共栄商事株式会社,301,岩手県,2016-06-08
1400001013232,株式会社シード,301,岩手県,2016-06-10
1400001013240,株式会社玉川観光タクシー,301,岩手県,2016-06-23
1400001013249,株式会社ａｉびじねす,301,岩手県,2016-06-29
1400001013257,株式会社山田コールドストレージ,301,岩手県,2016-07-04
1400001013315,株式会社レア・メンタル,301,岩手県,2016-08-04
1400001013323,盛岡ベース株式会社,301,岩手県,2016-08-09
1400001013331,大船渡発電株式会社,301,岩手県,2016-08-12
1400001013348,千トラック販売株式会社,301,岩手県,2016-09-02
1400001013356,株式会社ＧＯＧＡＫ,301,岩手県,2016-09-06
1400001013372,株式会社前田機器サービス盛岡,301,岩手県,2016-09-14
1400001013389,株式会社アトラス,301,岩手県,2016-10-06
1400001013397,株式会社Ｐｅａｃｅｉｎｇ,301,岩手県,2016-10-06
1400001013406,株式会社Ｆｕｎクリエイティブ,301,岩手県,2016-10-14
1400001013414,エムズ工業株式会社,301,岩手県,2016-10-19
1400001013422,株式会社ＳＡＫＵＲＡ−ＣＯＭ,301,岩手県,2016-10-25
1400001013430,株式会社ヒトタ商事,301,岩手県,2016-11-07
1400001013439,注文の多い食材店株式会社,301,岩手県,2016-11-08
1400001013455,株式会社竹澤興業,301,岩手県,2016-11-21
1400001013471,株式会社エクナサポート,301,岩手県,2016-11-28
1400001013488,國菜チキンハウス株式会社,301,岩手県,2016-12-09
1400001013496,株式会社みんなのみらい計画,301,岩手県,2016-12-15
1400001013505,株式会社いわて銀河農園,301,岩手県,2016-12-26
1400001013521,府金商店株式会社,301,岩手県,2017-01-06
1400001013538,株式会社宮古オートバイ会館,301,岩手県,2017-02-01
1400001013546,株式会社クジラテラス,301,岩手県,2017-02-06
1400001013562,株式会社イーハトーブ東北,301,岩手県,2017-02-20
1400001013570,株式会社万流千,301,岩手県,2017-02-24
1400001013579,株式会社ＭＯＶＥ,301,岩手県,2017-03-06
1400001013587,アユート株式会社,301,岩手県,2017-03-07
1400001013595,株式会社ウインドリー岩手,301,岩手県,2017-03-09
1400001013604,株式会社Ｃｏｃｏｒｏ,301,岩手県,2017-03-23
1400001013612,株式会社菅野興業,301,岩手県,2017-04-04
1400001013620,株式会社ＰＪ二戸フーズ,301,岩手県,2017-04-12
1400001013645,株式会社久慈山形介護センター,301,岩手県,2017-04-14
1400001013653,ＪＤＸソリューションズ株式会社,301,岩手県,2017-05-09
1400001013661,株式会社ＫＩＺ,301,岩手県,2017-04-26
1400001013678,ＪＰ産業株式会社,301,岩手県,2017-05-15
1400001013686,株式会社トラヴァース,301,岩手県,2017-05-18
1400001013694,株式会社トラッドファクトリー,301,岩手県,2017-05-24
1400001013703,株式会社ＢＲＩＧＨＴ,301,岩手県,2017-05-26
1400001013728,株式会社朝日ホールディングス,301,岩手県,2017-06-08
1400001013736,株式会社縁,301,岩手県,2017-06-13
1400001013744,株式会社なごみ福祉会,301,岩手県,2017-06-13
1400001013769,株式会社タカハシ,301,岩手県,2017-07-11
1400001013777,株式会社岩泉フォレストマーケティング,301,岩手県,2017-07-13
1400001013785,株式会社晴丸,301,岩手県,2017-07-19
1400001013793,株式会社ＷＡＹＳ,301,岩手県,2017-07-20
1400001013802,株式会社元気ラボ,301,岩手県,2017-07-25
1400001013810,うおいち近藤商店株式会社,301,岩手県,2017-08-07
1400001013819,アグリヤハバ株式会社,301,岩手県,2017-08-09
1400001013827,株式会社みなみ,301,岩手県,2017-08-18
1400001013835,株式会社ＮＥＸＬ,301,岩手県,2017-08-31
1400001013876,株式会社黒川自動車,301,岩手県,2017-10-06
1400001013884,コンノ商会株式会社,301,岩手県,2017-10-13
1400001013892,久慈地域エネルギー株式会社,301,岩手県,2017-10-13
1400001013901,株式会社クリーンネスト岩手,301,岩手県,2017-10-20
1400001013918,株式会社おたがいさまカンパニー,301,岩手県,2017-11-10
1400001013934,株式会社松田,301,岩手県,2017-11-27
1400001013950,株式会社トルクスト,301,岩手県,2017-12-08
1400001013959,株式会社小野建,301,岩手県,2017-12-11
1400001013967,ＹＯＵＹＯＵＪＡＰＡＮ株式会社,301,岩手県,2017-12-21
1400001013975,株式会社Ｆ＆Ｉ,301,岩手県,2017-12-27
1400001013983,ＬｅａｄｉｎｇＥｄｇｅ株式会社,301,岩手県,2018-01-05
1400001013991,陽楽株式会社,301,岩手県,2018-01-15
1400001014008,株式会社アシストス,301,岩手県,2018-01-19
1400001014016,株式会社セイコウタウンプランニング,301,岩手県,2018-01-30
1400001014024,株式会社フジケン,301,岩手県,2018-02-06
1400001014057,株式会社武藏ふぁーむ,301,岩手県,2018-03-13
1400001014065,株式会社エヌプラス,301,岩手県,2018-03-14
1400001014073,中正木材株式会社,301,岩手県,2018-03-23
1400001014081,株式会社フィルハウスサービス,301,岩手県,2018-03-23
1400001014115,株式会社太樹,301,岩手県,2018-04-23
1400001014123,株式会社高橋建設,301,岩手県,2018-05-01
1400001014156,株式会社旨屋,301,岩手県,2018-05-18
1400001014164,真塗株式会社,301,岩手県,2018-05-23
1400001014172,株式会社クレイヴ,301,岩手県,2018-05-31
1400001014180,株式会社コスモライン,301,岩手県,2018-06-06
1400001014206,ＮＳＢＫ株式会社,301,岩手県,2018-06-29
1400001014230,株式会社Ｋ＆Ｇ,301,岩手県,2018-07-13
1400001014239,株式会社リコレ,301,岩手県,2018-07-24
1400001014255,株式会社エイチツーフィールド,301,岩手県,2018-08-01
1400001014263,株式会社岩手健康増進舎,301,岩手県,2018-08-10
1400001014271,株式会社エフマリアージュ,301,岩手県,2018-08-13
1400001014288,桜城コーポレーション株式会社,301,岩手県,2018-08-29
1400001014296,株式会社ラシオン,301,岩手県,2018-09-03
1400001014313,ＹＭＴプランニング株式会社,301,岩手県,2018-09-18
1400001014321,株式会社Ｋ３,301,岩手県,2018-09-21
1400001014338,株式会社今野建設,301,岩手県,2018-10-04
1400001014346,ハウスエネルギーソリューション株式会社,301,岩手県,2018-10-05
1400001014362,株式会社黒川工務店,301,岩手県,2018-10-23
1400001014379,株式会社中村工務店,301,岩手県,2018-11-06
1400001014395,桂フーズ株式会社,301,岩手県,2018-11-13
1400001014412,株式会社オオバ測量,301,岩手県,2018-11-29
1400001014420,株式会社ニツセキ,301,岩手県,2018-12-06
1400001014429,株式会社クラムボン,301,岩手県,2018-12-12
1400001014437,株式会社アスク・プランニング,301,岩手県,2018-12-27
1400001014445,株式会社ダイレクトジャパン東北,301,岩手県,2019-01-09
1400001014453,株式会社佐藤外装,301,岩手県,2019-01-09
1400001014478,株式会社大矢内きのこ園,301,岩手県,2019-02-04
1400001014494,株式会社フィッティング・ハブ,301,岩手県,2019-02-14
1400001014503,クドウホールディングス株式会社,301,岩手県,2019-02-19
1400001014511,株式会社アカツキ工業,301,岩手県,2019-02-27
1400001014528,株式会社ＬＩＮＫ,301,岩手県,2019-03-08
1400001014536,株式会社誠建,301,岩手県,2019-03-18
1400001014544,ボワサンテ株式会社,301,岩手県,2019-03-26
1400001014552,株式会社Ｂａｍｂｉｎｉ−ｐｉｃｃｏｌｏ,301,岩手県,2019-04-03
1400001014560,株式会社山久,301,岩手県,2019-04-08
1400001014610,株式会社博愛産業,301,岩手県,2019-05-29
1400001014635,陸前高田ほんまる株式会社,301,岩手県,2019-06-10
1400001014643,株式会社アグリ・サクシード朝日,301,岩手県,2019-06-18
1400001014651,株式会社アグリードいわて,301,岩手県,2019-06-21
1400001014668,株式会社いずみファーマ,301,岩手県,2019-07-03
1400001014684,岩手液酸株式会社,301,岩手県,2019-07-16
1400001014692,株式会社ティアコートＫＳ,301,岩手県,2019-07-18
1400001014734,アークホールディングス株式会社,301,岩手県,2019-08-19
1400001014750,株式会社遠野郷,301,岩手県,2019-09-06
1400001014759,株式会社五郎不動産,301,岩手県,2019-09-17
1400001014775,株式会社心明,301,岩手県,2019-10-02
1400001014783,株式会社Ｏｊａｃｃｏ,301,岩手県,2019-10-03
1400001014800,株式会社水土環境,301,岩手県,2019-10-17
1400001014809,ワタミファーム陸前高田株式会社,301,岩手県,2019-10-29
1400001014817,株式会社ＮＥＸＲＯＷ,301,岩手県,2019-11-07
1400001014825,株式会社グッドスマイル,301,岩手県,2019-11-08
1400001014833,株式会社キャストホーム,301,岩手県,2019-11-13
1400001014841,株式会社Ａｓｏｂｏ不動産,301,岩手県,2019-11-26
1400001014882,株式会社宮守衛生社,301,岩手県,2020-01-08
1400001014899,株式会社ＴＭ　ＴＥＣ,301,岩手県,2020-01-14
1400001014908,株式会社ｅ＆ｓｅｍｂｌｅ,301,岩手県,2020-01-22
1400001014916,平山興産株式会社,301,岩手県,2020-01-31
1400001014924,株式会社八幡建設ＨＤ,301,岩手県,2020-02-12
1400001014932,株式会社Ｃ．,301,岩手県,2020-02-14
1400001014940,株式会社弐五郎,301,岩手県,2020-02-19
1400001014949,由輝宮株式会社,301,岩手県,2020-02-28
1400001014957,株式会社街のほけん屋さん,301,岩手県,2020-03-06
1400001014973,オリヒメ出版株式会社,301,岩手県,2020-03-31
1400001014981,ｍａｎｏｒｄａいわて株式会社,301,岩手県,2020-04-06
1400001014998,株式会社ファクトリー前田,301,岩手県,2020-04-07
1400001015006,株式会社ＰＵＢＬＩＱ,301,岩手県,2020-04-15
